scene_id,video_id
gacs_advertisements_00_-avONMmQ_s0016,gacs_advertisements_00_-avONMmQ
gacs_advertisements_01_jBnseji3_s0013,gacs_advertisements_01_jBnseji3
gacs_advertisements_01_jBnseji3_s0014,gacs_advertisements_01_jBnseji3
gacs_animations_00_WIPV1iwz_s0015,gacs_animations_00_WIPV1iwz
gacs_animations_00_WIPV1iwz_s0016,gacs_animations_00_WIPV1iwz
gacs_animations_00_WIPV1iwz_s0017,gacs_animations_00_WIPV1iwz
gacs_animations_00_WIPV1iwz_s0018,gacs_animations_00_WIPV1iwz
gacs_animations_00_WIPV1iwz_s0019,gacs_animations_00_WIPV1iwz
gacs_animations_00_WIPV1iwz_s0020,gacs_animations_00_WIPV1iwz
gacs_animations_00_WIPV1iwz_s0021,gacs_animations_00_WIPV1iwz
gacs_animations_02_qLGNj-xr_s0016,gacs_animations_02_qLGNj-xr
gacs_animations_02_qLGNj-xr_s0017,gacs_animations_02_qLGNj-xr
gacs_animations_02_qLGNj-xr_s0018,gacs_animations_02_qLGNj-xr
gacs_animations_02_qLGNj-xr_s0019,gacs_animations_02_qLGNj-xr
gacs_emotional_shorts_00_WAmw-erI_s0015,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0016,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0017,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0018,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0019,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0020,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0021,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0022,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0023,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0024,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0025,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0026,gacs_emotional_shorts_00_WAmw-erI
gacs_emotional_shorts_00_WAmw-erI_s0027,gacs_emotional_shorts_00_WAmw-erI
